Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories
Waypoint	A79-FHP	16-NOV-14 09:17	User Waypoint	N14.81452 W16.50335	34 m				Symbol & Name	Black	Waypoint					11/16/2014 9:17:49 AM 		
Waypoint	A8-DZR	04-NOV-14 08:50	User Waypoint	N14.91624 W16.75111	39 m				Symbol & Name	Black	Waypoint					11/4/2014 8:50:58 AM 		
Waypoint	A80-RLT	16-NOV-14 09:19	User Waypoint	N14.80905 W16.49771	35 m				Symbol & Name	Black	Triangle, Red					11/16/2014 9:19:12 AM 		
Waypoint	A81-DANGER	16-NOV-14 09:19	User Waypoint	N14.80724 W16.49812	37 m				Symbol & Name	Black	Triangle, Red					11/16/2014 9:19:50 AM 		
Waypoint	A82-DHP	16-NOV-14 09:24	User Waypoint	N14.79418 W16.49902	35 m				Symbol & Name	Black	Waypoint					11/16/2014 9:24:34 AM 		
Waypoint	A83-FHP	16-NOV-14 09:26	User Waypoint	N14.79038 W16.49707	34 m				Symbol & Name	Black	Waypoint					11/16/2014 9:26:36 AM 		
Waypoint	A84	16-NOV-14 09:27	User Waypoint	N14.79044 W16.49563	34 m				Symbol & Name	Black	Waypoint					11/16/2014 9:27:06 AM 		
Waypoint	A85	16-NOV-14 09:27	User Waypoint	N14.78971 W16.49365	36 m				Symbol & Name	Black	Waypoint					11/16/2014 9:27:47 AM 		
Waypoint	A86	16-NOV-14 09:28	User Waypoint	N14.78887 W16.49198	37 m				Symbol & Name	Black	Waypoint					11/16/2014 9:28:13 AM 		
Waypoint	A87	16-NOV-14 09:29	User Waypoint	N14.78491 W16.48615	36 m				Symbol & Name	Black	Waypoint					11/16/2014 9:29:45 AM 		
Waypoint	A88	16-NOV-14 09:30	User Waypoint	N14.78196 W16.48795	36 m				Symbol & Name	Black	Waypoint					11/16/2014 9:30:40 AM 		
Waypoint	A89	16-NOV-14 09:31	User Waypoint	N14.77966 W16.48611	36 m				Symbol & Name	Black	Waypoint					11/16/2014 9:31:24 AM 		
Waypoint	A9-RLT	04-NOV-14 08:51	User Waypoint	N14.91604 W16.75060	44 m				Symbol & Name	Black	Triangle, Red					11/4/2014 8:51:23 AM 		
Waypoint	A90	16-NOV-14 09:32	User Waypoint	N14.77981 W16.48184	36 m				Symbol & Name	Black	Waypoint					11/16/2014 9:32:28 AM 		
Waypoint	A91-DHP	16-NOV-14 09:34	User Waypoint	N14.77939 W16.47917	31 m				Symbol & Name	Black	Waypoint					11/16/2014 9:34:13 AM 		
Waypoint	A92-FHP	16-NOV-14 09:37	User Waypoint	N14.77378 W16.47665	33 m				Symbol & Name	Black	Waypoint					11/16/2014 9:37:10 AM 		
Waypoint	A93	16-NOV-14 09:37	User Waypoint	N14.77380 W16.47633	34 m				Symbol & Name	Black	Waypoint					11/16/2014 9:37:22 AM 		
Waypoint	A94	16-NOV-14 09:39	User Waypoint	N14.77158 W16.46858	29 m				Symbol & Name	Black	Waypoint					11/16/2014 9:39:10 AM 		
Waypoint	A95-DHP	16-NOV-14 09:41	User Waypoint	N14.76387 W16.46980	32 m				Symbol & Name	Black	Waypoint					11/16/2014 9:41:12 AM 		
Waypoint	A96-FHP	16-NOV-14 09:43	User Waypoint	N14.76128 W16.47198	34 m				Symbol & Name	Black	Waypoint					11/16/2014 9:43:06 AM 		
Waypoint	A97	16-NOV-14 09:43	User Waypoint	N14.75889 W16.47101	31 m				Symbol & Name	Black	Waypoint					11/16/2014 9:43:42 AM 		
Waypoint	A98	16-NOV-14 09:45	User Waypoint	N14.74969 W16.47574	29 m				Symbol & Name	Black	Waypoint					11/16/2014 9:45:34 AM 		
Waypoint	A99	16-NOV-14 09:48	User Waypoint	N14.74345 W16.47921	29 m				Symbol & Name	Black	Waypoint					11/16/2014 9:48:16 AM 		
Waypoint	ASS1	16-NOV-14 09:56	User Waypoint	N14.72534 W16.46205	29 m				Symbol & Name	Black	Pin, Red					11/16/2014 9:56:12 AM 		
Waypoint	DSS1	04-NOV-14 08:28	User Waypoint	N14.92546 W16.77694	41 m				Symbol & Name	Black	Pin, Green					11/4/2014 8:28:27 AM 		

