Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	ACTIVE LOG 003	06/12/2014 11:52:18 	1:07:06	59.4 km	53 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N14.88947 W16.67652	06/12/2014 12:17:10 	35 m			38 m	0:00:02	68 kph	100° true
Trackpoint	N14.88923 W16.67587	06/12/2014 12:17:16 	35 m			75 m	0:00:06	45 kph	111° true
Trackpoint	N14.88890 W16.67507	06/12/2014 12:17:26 	34 m			93 m	0:00:10	34 kph	113° true
Trackpoint	N14.88877 W16.67482	06/12/2014 12:17:30 	34 m			30 m	0:00:04	27 kph	118° true
Trackpoint	N14.88855 W16.67381	06/12/2014 12:17:42 	35 m			112 m	0:00:12	34 kph	103° true
Trackpoint	N14.88839 W16.67332	06/12/2014 12:17:47 	36 m			56 m	0:00:05	40 kph	108° true
Trackpoint	N14.88785 W16.67231	06/12/2014 12:18:00 	35 m			124 m	0:00:13	34 kph	119° true
Trackpoint	N14.88772 W16.67212	06/12/2014 12:18:04 	34 m			26 m	0:00:04	23 kph	127° true
Trackpoint	N14.88756 W16.67198	06/12/2014 12:18:07 	34 m			23 m	0:00:03	28 kph	139° true
Trackpoint	N14.88706 W16.67170	06/12/2014 12:18:13 	33 m			63 m	0:00:06	38 kph	151° true
Trackpoint	N14.88625 W16.67112	06/12/2014 12:18:23 	33 m			110 m	0:00:10	39 kph	145° true
